epoch,value,date_time
1581095400.0,2.5,2020-02-07 09:10:00-08:00
1581116400.0,2.5,2020-02-07 15:00:00-08:00
1581122700.0,2.5,2020-02-07 16:45:00-08:00
1581141600.0,1.0,2020-02-07 22:00:00-08:00
1581154200.0,2.5,2020-02-08 01:30:00-08:00
1581174000.0,2.0,2020-02-08 07:00:00-08:00
1581198300.0,2.5,2020-02-08 13:45:00-08:00
1581206400.0,2.5,2020-02-08 16:00:00-08:00
1581226200.0,1.0,2020-02-08 21:30:00-08:00
1581249600.0,2.0,2020-02-09 04:00:00-08:00
1581267600.0,2.5,2020-02-09 09:00:00-08:00
1581288000.0,3.0,2020-02-09 14:40:00-08:00
1581292800.0,2.0,2020-02-09 16:00:00-08:00
1581316200.0,1.0,2020-02-09 22:30:00-08:00
1581337800.0,2.0,2020-02-10 04:30:00-08:00
1581358200.0,2.5,2020-02-10 10:10:00-08:00
1581377400.0,2.5,2020-02-10 15:30:00-08:00
1581397800.0,2.0,2020-02-10 21:10:00-08:00
1581418800.0,2.0,2020-02-11 03:00:00-08:00
1581440400.0,2.5,2020-02-11 09:00:00-08:00
1581462000.0,2.5,2020-02-11 15:00:00-08:00
1581469200.0,1.0,2020-02-11 17:00:00-08:00
1581487200.0,1.0,2020-02-11 22:00:00-08:00
1581516000.0,2.0,2020-02-12 06:00:00-08:00
1581530400.0,2.0,2020-02-12 10:00:00-08:00
1581548400.0,2.0,2020-02-12 15:00:00-08:00
1581570000.0,2.0,2020-02-12 21:00:00-08:00
1581582600.0,0.5,2020-02-13 00:30:00-08:00
1581591600.0,2.0,2020-02-13 03:00:00-08:00
1581613200.0,2.0,2020-02-13 09:00:00-08:00
1581635700.0,2.5,2020-02-13 15:15:00-08:00
1581656400.0,2.0,2020-02-13 21:00:00-08:00
1581663600.0,1.0,2020-02-13 23:00:00-08:00
1581681600.0,2.0,2020-02-14 04:00:00-08:00
1581701400.0,2.5,2020-02-14 09:30:00-08:00
1581718500.0,2.5,2020-02-14 14:15:00-08:00
1581744600.0,2.0,2020-02-14 21:30:00-08:00
1581775200.0,2.0,2020-02-15 06:00:00-08:00
1581789600.0,3.0,2020-02-15 10:00:00-08:00
1581807600.0,2.5,2020-02-15 15:00:00-08:00
